date,product,region,channel,promo,price,units,sales
04-01-2023,Product_3,South,Online,0,35.42,81,2869.02
04-01-2023,Product_5,West,Retail,0,31.3,115,3599.5
04-01-2023,Product_2,West,Retail,0,37.31,108,4029.48
04-01-2023,Product_2,North,Online,0,43.71,99,4327.29
04-01-2023,Product_1,North,Retail,0,30.99,106,3284.94
04-01-2023,Product_5,East,Online,0,41.57,124,5154.68
04-01-2023,Product_4,South,Retail,0,40.05,92,3684.6
05-01-2023,Product_3,West,Retail,0,40.9,80,3272
05-01-2023,Product_1,South,Online,0,43.79,107,4685.53
05-01-2023,Product_1,North,Retail,1,42.19,100,4219
05-01-2023,Product_5,South,Online,0,46.28,126,5831.28
05-01-2023,Product_2,West,Retail,0,39.26,111,4357.86
05-01-2023,Product_4,West,Retail,1,45.92,113,5188.96
05-01-2023,Product_4,South,Retail,0,31.14,105,3269.7
05-01-2023,Product_5,East,Retail,0,36.28,148,5369.44
05-01-2023,Product_3,South,Retail,1,50,105,5250
05-01-2023,Product_2,South,Online,0,33.82,55,1860.1
06-01-2023,Product_4,South,Online,0,30.53,90,2747.7
06-01-2023,Product_5,East,Retail,0,33.09,90,2978.1
06-01-2023,Product_1,East,Online,0,32.5,102,3315
06-01-2023,Product_2,North,Online,0,35.87,77,2761.99
06-01-2023,Product_1,North,Online,0,47.32,91,4306.12
06-01-2023,Product_4,West,Online,0,37.77,67,2530.59
06-01-2023,Product_3,North,Retail,0,38.3,135,5170.5
06-01-2023,Product_2,East,Retail,0,42.82,105,4496.1
06-01-2023,Product_3,South,Retail,0,33.66,111,3736.26
06-01-2023,Product_5,West,Retail,0,42.03,164,6892.92
07-01-2023,Product_4,East,Retail,0,46.28,111,5137.08
07-01-2023,Product_3,North,Retail,1,39.76,145,5765.2
07-01-2023,Product_4,North,Online,0,23.25,85,1976.25
07-01-2023,Product_5,South,Retail,0,43.42,60,2605.2
07-01-2023,Product_3,West,Online,0,47.65,109,5193.85
07-01-2023,Product_2,South,Online,0,43.73,91,3979.43
07-01-2023,Product_5,North,Online,0,49.66,101,5015.66
07-01-2023,Product_1,West,Online,0,39.73,83,3297.59
07-01-2023,Product_2,West,Retail,0,47.63,127,6049.01
07-01-2023,Product_1,North,Online,0,41.05,83,3407.15
08-01-2023,Product_2,East,Retail,0,36.62,125,4577.5
08-01-2023,Product_4,East,Retail,0,42.13,122,5139.86
08-01-2023,Product_5,South,Retail,0,36.82,117,4307.94
08-01-2023,Product_3,North,Online,0,42.63,115,4902.45
08-01-2023,Product_1,West,Retail,0,42.69,94,4012.86
08-01-2023,Product_1,East,Online,0,39.3,112,4401.6
08-01-2023,Product_3,West,Retail,1,36.43,127,4626.61
08-01-2023,Product_5,East,Retail,0,43.65,132,5761.8
08-01-2023,Product_2,South,Online,0,36.47,107,3902.29
08-01-2023,Product_4,West,Retail,0,38.75,91,3526.25
09-01-2023,Product_1,West,Online,0,32.42,96,3112.32
09-01-2023,Product_3,West,Retail,0,40.88,63,2575.44
09-01-2023,Product_2,South,Online,1,38.93,101,3931.93
09-01-2023,Product_2,West,Retail,1,31.11,158,4915.38
09-01-2023,Product_5,East,Online,0,44.28,78,3453.84
09-01-2023,Product_1,East,Online,0,31.1,122,3794.2
09-01-2023,Product_5,North,Retail,0,54.34,93,5053.62
09-01-2023,Product_3,East,Retail,0,30.9,84,2595.6
09-01-2023,Product_4,South,Retail,0,41.6,137,5699.2
09-01-2023,Product_4,North,Retail,1,37.82,108,4084.56
10-01-2023,Product_2,North,Retail,0,37.49,85,3186.65
10-01-2023,Product_4,North,Online,0,35.04,73,2557.92
10-01-2023,Product_4,South,Retail,0,44.71,93,4158.03
10-01-2023,Product_3,West,Online,0,47.15,87,4102.05
10-01-2023,Product_3,North,Online,0,46.96,84,3944.64
10-01-2023,Product_1,South,Retail,0,45.61,105,4789.05
10-01-2023,Product_5,West,Retail,0,35.31,88,3107.28
10-01-2023,Product_1,East,Online,0,44.73,106,4741.38
10-01-2023,Product_2,West,Online,0,32.97,85,2802.45
10-01-2023,Product_5,North,Retail,0,39.8,104,4139.2
11-01-2023,Product_1,West,Online,0,46.43,125,5803.75
11-01-2023,Product_2,West,Online,1,43.47,138,5998.86
11-01-2023,Product_5,East,Retail,0,38.93,70,2725.1
11-01-2023,Product_3,West,Retail,0,36.81,95,3496.95
11-01-2023,Product_5,North,Retail,1,40.98,77,3155.46
11-01-2023,Product_3,South,Online,1,38.73,150,5809.5
11-01-2023,Product_1,East,Retail,0,34.39,83,2854.37
11-01-2023,Product_4,West,Retail,0,40.94,118,4830.92
11-01-2023,Product_2,North,Online,1,34.55,127,4387.85
11-01-2023,Product_4,East,Retail,0,36.34,127,4615.18
12-01-2023,Product_5,West,Retail,0,34.44,79,2720.76
12-01-2023,Product_1,North,Retail,0,41.73,110,4590.3
12-01-2023,Product_2,East,Online,0,30.03,68,2042.04
12-01-2023,Product_1,East,Retail,0,44.61,89,3970.29
12-01-2023,Product_4,South,Retail,0,39.02,139,5423.78
12-01-2023,Product_3,North,Online,0,43.69,102,4456.38
12-01-2023,Product_5,South,Online,1,45.36,171,7756.56
12-01-2023,Product_3,West,Online,0,36.43,129,4699.47
12-01-2023,Product_4,West,Retail,0,49.69,98,4869.62
12-01-2023,Product_2,North,Online,0,49.32,67,3304.44
13-01-2023,Product_1,West,Online,0,39.8,116,4616.8
13-01-2023,Product_2,North,Online,1,39.83,116,4620.28
13-01-2023,Product_4,South,Retail,0,30.77,85,2615.45
13-01-2023,Product_2,West,Online,0,37.75,95,3586.25
13-01-2023,Product_3,West,Online,0,42.35,120,5082
13-01-2023,Product_4,East,Online,0,46.11,33,1521.63
13-01-2023,Product_5,South,Online,0,37.4,120,4488
13-01-2023,Product_5,North,Retail,0,33.43,87,2908.41
13-01-2023,Product_1,East,Retail,0,33.89,89,3016.21
13-01-2023,Product_3,East,Online,0,27.53,121,3331.13
14-01-2023,Product_3,East,Retail,0,54.48,96,5230.08
14-01-2023,Product_4,North,Retail,0,39.24,95,3727.8
14-01-2023,Product_3,West,Retail,0,40.06,116,4646.96
14-01-2023,Product_2,East,Retail,0,35.86,85,3048.1
14-01-2023,Product_4,South,Online,0,35.67,100,3567
14-01-2023,Product_5,West,Retail,0,45.81,118,5405.58
14-01-2023,Product_5,North,Retail,0,39.08,144,5627.52
14-01-2023,Product_1,North,Retail,0,44.07,94,4142.58
14-01-2023,Product_2,South,Online,0,42.08,112,4712.96
14-01-2023,Product_1,South,Online,0,33.17,136,4511.12
15-01-2023,Product_1,East,Retail,0,29.27,150,4390.5
15-01-2023,Product_1,South,Retail,0,41.05,93,3817.65
15-01-2023,Product_4,West,Retail,0,41.11,79,3247.69
15-01-2023,Product_4,East,Retail,0,41.33,102,4215.66
15-01-2023,Product_5,North,Retail,0,28.8,80,2304
15-01-2023,Product_3,West,Online,0,45.8,80,3664
15-01-2023,Product_5,South,Online,0,43.04,74,3184.96
15-01-2023,Product_2,North,Retail,0,35.63,91,3242.33
15-01-2023,Product_3,East,Online,0,41.3,94,3882.2
15-01-2023,Product_2,South,Retail,0,45.17,81,3658.77
16-01-2023,Product_1,West,Retail,0,28.07,105,2947.35
16-01-2023,Product_3,South,Retail,0,43.95,122,5361.9
16-01-2023,Product_4,West,Retail,0,34.33,120,4119.6
16-01-2023,Product_4,North,Retail,0,23.42,121,2833.82
16-01-2023,Product_2,North,Online,0,38.13,92,3507.96
16-01-2023,Product_5,South,Retail,0,43.02,107,4603.14
16-01-2023,Product_5,West,Retail,0,41.21,93,3832.53
16-01-2023,Product_1,North,Online,0,47.44,76,3605.44
16-01-2023,Product_2,South,Online,0,37.7,118,4448.6
16-01-2023,Product_3,North,Online,0,32.05,99,3172.95
17-01-2023,Product_5,West,Retail,0,40.13,113,4534.69
17-01-2023,Product_1,South,Online,0,42.96,129,5541.84
17-01-2023,Product_5,North,Online,0,43.72,112,4896.64
17-01-2023,Product_2,South,Retail,0,38.49,88,3387.12
17-01-2023,Product_3,East,Retail,1,48.8,136,6636.8
17-01-2023,Product_3,West,Retail,1,34.5,100,3450
17-01-2023,Product_4,West,Retail,0,38.49,104,4002.96
17-01-2023,Product_1,North,Retail,0,51.74,118,6105.32
17-01-2023,Product_4,East,Retail,0,36.11,112,4044.32
17-01-2023,Product_2,East,Retail,1,42.18,169,7128.42
18-01-2023,Product_4,West,Online,0,40.34,106,4276.04
18-01-2023,Product_4,East,Online,0,43.83,82,3594.06
18-01-2023,Product_2,North,Online,0,32.1,147,4718.7
18-01-2023,Product_2,West,Online,0,54.64,125,6830
18-01-2023,Product_1,North,Online,0,34.41,122,4198.02
18-01-2023,Product_5,West,Retail,0,35.23,95,3346.85
18-01-2023,Product_3,East,Retail,0,39.43,80,3154.4
18-01-2023,Product_3,South,Online,0,47.98,104,4989.92
18-01-2023,Product_5,South,Retail,0,34.46,131,4514.26
18-01-2023,Product_1,East,Retail,0,48.45,84,4069.8
19-01-2023,Product_4,East,Retail,1,31.91,127,4052.57
19-01-2023,Product_3,South,Retail,0,39.96,105,4195.8
19-01-2023,Product_5,North,Online,0,28.94,97,2807.18
19-01-2023,Product_2,North,Retail,0,38.97,139,5416.83
19-01-2023,Product_3,East,Online,0,35.54,137,4868.98
19-01-2023,Product_1,South,Retail,0,44.4,132,5860.8
19-01-2023,Product_2,West,Online,0,42.47,89,3779.83
19-01-2023,Product_1,West,Retail,0,37.18,124,4610.32
19-01-2023,Product_4,West,Online,0,41.49,148,6140.52
19-01-2023,Product_5,West,Retail,1,27.93,139,3882.27
20-01-2023,Product_2,North,Retail,0,37.86,99,3748.14
20-01-2023,Product_3,South,Retail,0,29.57,122,3607.54
20-01-2023,Product_2,East,Retail,1,40.34,125,5042.5
20-01-2023,Product_1,North,Online,0,40.46,87,3520.02
20-01-2023,Product_4,North,Retail,0,46.29,134,6202.86
20-01-2023,Product_1,South,Retail,0,39.01,95,3705.95
20-01-2023,Product_4,West,Retail,0,33.83,121,4093.43
20-01-2023,Product_3,North,Online,1,38.05,137,5212.85
20-01-2023,Product_5,North,Retail,0,37.37,150,5605.5
20-01-2023,Product_5,West,Online,0,43.49,78,3392.22
21-01-2023,Product_5,East,Retail,1,38.6,125,4825
21-01-2023,Product_2,South,Online,0,39.93,104,4152.72
21-01-2023,Product_1,South,Retail,1,35.86,131,4697.66
21-01-2023,Product_4,East,Retail,0,41.72,93,3879.96
21-01-2023,Product_3,West,Retail,0,41.78,131,5473.18
21-01-2023,Product_5,South,Retail,1,41.29,129,5326.41
21-01-2023,Product_2,East,Retail,0,45.56,113,5148.28
21-01-2023,Product_4,North,Retail,0,44.35,84,3725.4
21-01-2023,Product_1,East,Online,0,39.86,106,4225.16
21-01-2023,Product_3,South,Retail,0,43.92,69,3030.48
22-01-2023,Product_2,West,Online,0,34.52,120,4142.4
22-01-2023,Product_3,East,Retail,0,41.83,115,4810.45
22-01-2023,Product_2,North,Online,0,41.09,91,3739.19
22-01-2023,Product_1,West,Online,0,38.87,107,4159.09
22-01-2023,Product_1,North,Retail,0,33.86,120,4063.2
22-01-2023,Product_4,South,Retail,0,21.28,127,2702.56
22-01-2023,Product_5,West,Retail,0,37.21,121,4502.41
22-01-2023,Product_5,South,Online,1,43.6,98,4272.8
22-01-2023,Product_3,South,Retail,1,32.1,146,4686.6
22-01-2023,Product_4,East,Retail,0,54.94,138,7581.72
23-01-2023,Product_1,West,Retail,0,28.49,101,2877.49
23-01-2023,Product_4,South,Retail,0,23.97,88,2109.36
23-01-2023,Product_5,North,Retail,0,31.25,74,2312.5
23-01-2023,Product_1,North,Retail,0,40.13,99,3972.87
23-01-2023,Product_2,East,Retail,0,41.23,102,4205.46
23-01-2023,Product_3,South,Online,0,36.8,100,3680
23-01-2023,Product_2,West,Online,0,30.92,89,2751.88
23-01-2023,Product_3,East,Online,1,38.88,101,3926.88
23-01-2023,Product_4,North,Retail,0,48.42,130,6294.6
23-01-2023,Product_5,East,Retail,0,36.16,105,3796.8
24-01-2023,Product_3,North,Retail,0,44.18,99,4373.82
24-01-2023,Product_1,West,Online,0,36.03,154,5548.62
24-01-2023,Product_1,South,Online,0,38.6,74,2856.4
24-01-2023,Product_3,East,Retail,0,43.63,64,2792.32
24-01-2023,Product_4,East,Online,1,26.45,147,3888.15
24-01-2023,Product_5,East,Online,0,43.63,88,3839.44
24-01-2023,Product_2,South,Online,1,30.94,122,3774.68
24-01-2023,Product_2,East,Retail,1,42.87,128,5487.36
24-01-2023,Product_5,South,Online,0,39.92,100,3992
24-01-2023,Product_4,North,Retail,0,40.41,139,5616.99
25-01-2023,Product_5,South,Online,0,46.49,102,4741.98
25-01-2023,Product_2,West,Retail,0,35.35,118,4171.3
25-01-2023,Product_1,South,Online,0,39.73,151,5999.23
25-01-2023,Product_4,West,Online,0,51.15,97,4961.55
25-01-2023,Product_5,North,Online,0,38.83,136,5280.88
25-01-2023,Product_3,South,Retail,0,40.04,117,4684.68
25-01-2023,Product_3,East,Retail,0,37.55,112,4205.6
25-01-2023,Product_4,South,Retail,1,52.82,117,6179.94
25-01-2023,Product_2,East,Online,0,39.18,87,3408.66
25-01-2023,Product_1,West,Retail,0,39.24,127,4983.48
26-01-2023,Product_3,South,Retail,0,43.56,74,3223.44
26-01-2023,Product_4,West,Retail,0,27.83,99,2755.17
26-01-2023,Product_1,North,Online,1,45.36,137,6214.32
26-01-2023,Product_2,East,Retail,0,27.5,95,2612.5
26-01-2023,Product_4,South,Online,1,41.47,116,4810.52
26-01-2023,Product_5,South,Retail,0,35.13,132,4637.16
26-01-2023,Product_3,West,Retail,0,42.62,121,5157.02
26-01-2023,Product_1,West,Retail,0,28.82,127,3660.14
26-01-2023,Product_2,South,Retail,0,46.41,131,6079.71
26-01-2023,Product_5,North,Online,0,46.91,123,5769.93
27-01-2023,Product_5,South,Retail,0,37.2,110,4092
27-01-2023,Product_1,North,Retail,0,29.92,140,4188.8
27-01-2023,Product_4,West,Retail,0,36.3,75,2722.5
27-01-2023,Product_2,West,Online,0,33.51,98,3283.98
27-01-2023,Product_4,North,Retail,0,33.33,70,2333.1
27-01-2023,Product_5,East,Online,0,43.6,132,5755.2
27-01-2023,Product_2,East,Retail,0,32.62,138,4501.56
27-01-2023,Product_1,West,Online,0,36.14,62,2240.68
27-01-2023,Product_3,South,Online,0,30.35,147,4461.45
27-01-2023,Product_3,North,Online,0,43.93,125,5491.25
28-01-2023,Product_5,West,Retail,0,41.45,111,4600.95
28-01-2023,Product_3,North,Retail,0,50.14,143,7170.02
28-01-2023,Product_1,North,Online,1,32.79,162,5311.98
28-01-2023,Product_4,East,Online,0,41.53,119,4942.07
28-01-2023,Product_1,East,Retail,0,37.11,100,3711
28-01-2023,Product_5,South,Online,0,39.98,140,5597.2
28-01-2023,Product_3,East,Online,1,43.66,92,4016.72
28-01-2023,Product_4,South,Retail,1,21.67,177,3835.59
28-01-2023,Product_2,West,Online,0,36.79,65,2391.35
28-01-2023,Product_2,North,Online,0,37.86,131,4959.66
29-01-2023,Product_2,East,Online,0,46.61,117,5453.37
29-01-2023,Product_1,East,Retail,1,45.08,105,4733.4
29-01-2023,Product_2,West,Retail,0,43.56,126,5488.56
29-01-2023,Product_3,South,Retail,0,44.08,80,3526.4
29-01-2023,Product_5,East,Retail,0,50.58,109,5513.22
29-01-2023,Product_4,West,Retail,0,35.92,57,2047.44
29-01-2023,Product_4,East,Online,0,37.45,120,4494
29-01-2023,Product_5,West,Retail,0,41.85,99,4143.15
29-01-2023,Product_3,North,Online,0,44.01,118,5193.18
29-01-2023,Product_1,North,Online,0,42.22,84,3546.48
30-01-2023,Product_3,West,Online,0,38.84,121,4699.64
30-01-2023,Product_4,South,Online,0,41.35,84,3473.4
30-01-2023,Product_4,East,Online,0,42.96,79,3393.84
30-01-2023,Product_1,North,Retail,0,35.08,93,3262.44
30-01-2023,Product_5,West,Online,1,38.42,142,5455.64
30-01-2023,Product_5,East,Retail,0,49.42,112,5535.04
30-01-2023,Product_1,West,Retail,0,47.31,91,4305.21
30-01-2023,Product_2,South,Retail,0,45.12,130,5865.6
30-01-2023,Product_2,West,Online,0,40.87,120,4904.4
30-01-2023,Product_3,East,Online,0,31.35,93,2915.55
31-01-2023,Product_2,North,Retail,0,38.1,100,3810
31-01-2023,Product_5,West,Online,0,48.42,113,5471.46
31-01-2023,Product_3,West,Online,1,32.97,97,3198.09
31-01-2023,Product_3,East,Online,0,28.99,138,4000.62
31-01-2023,Product_5,North,Online,0,37.54,129,4842.66
31-01-2023,Product_4,East,Online,1,32.59,80,2607.2
31-01-2023,Product_1,South,Retail,0,39.92,107,4271.44
31-01-2023,Product_4,South,Online,0,40.42,106,4284.52
31-01-2023,Product_1,North,Online,0,30.78,67,2062.26
31-01-2023,Product_2,East,Retail,0,43.68,109,4761.12
01-02-2023,Product_1,West,Online,0,49.2,125,6150
01-02-2023,Product_3,East,Online,0,32.3,103,3326.9
01-02-2023,Product_4,North,Online,0,36.72,111,4075.92
01-02-2023,Product_2,East,Online,0,38.93,121,4710.53
01-02-2023,Product_4,South,Online,0,31.09,81,2518.29
01-02-2023,Product_5,North,Retail,0,34.19,112,3829.28
01-02-2023,Product_5,West,Online,0,43.26,119,5147.94
01-02-2023,Product_1,South,Retail,0,41.17,138,5681.46
01-02-2023,Product_3,South,Online,0,38.74,118,4571.32
01-02-2023,Product_2,North,Online,0,41.88,109,4564.92
02-02-2023,Product_3,West,Online,0,39.44,91,3589.04
02-02-2023,Product_4,South,Online,0,40.7,125,5087.5
02-02-2023,Product_3,East,Retail,0,29.88,120,3585.6
02-02-2023,Product_1,West,Retail,0,27.48,108,2967.84
02-02-2023,Product_2,West,Retail,0,36.16,99,3579.84
02-02-2023,Product_4,East,Online,0,42.65,76,3241.4
02-02-2023,Product_5,North,Retail,0,34.19,92,3145.48
02-02-2023,Product_2,East,Retail,0,50.05,111,5555.55
02-02-2023,Product_1,North,Retail,0,30.81,86,2649.66
02-02-2023,Product_5,South,Retail,0,37.51,114,4276.14
03-02-2023,Product_5,North,Retail,0,44.91,103,4625.73
03-02-2023,Product_4,West,Retail,0,45.92,131,6015.52
03-02-2023,Product_4,East,Retail,0,35.33,106,3744.98
03-02-2023,Product_3,West,Online,0,38.17,82,3129.94
03-02-2023,Product_2,West,Online,0,47.01,86,4042.86
03-02-2023,Product_1,North,Retail,0,41.37,163,6743.31
03-02-2023,Product_3,East,Online,0,44.48,99,4403.52
03-02-2023,Product_2,North,Retail,0,42.71,108,4612.68
03-02-2023,Product_1,South,Online,0,40.36,101,4076.36
03-02-2023,Product_5,South,Online,0,46.56,80,3724.8
04-02-2023,Product_4,East,Retail,0,44.68,93,4155.24
04-02-2023,Product_3,North,Retail,0,34.32,147,5045.04
04-02-2023,Product_5,West,Retail,0,41.41,99,4099.59
04-02-2023,Product_1,North,Online,0,25.08,144,3611.52
04-02-2023,Product_2,West,Online,0,40.38,97,3916.86
04-02-2023,Product_5,North,Online,0,47.86,105,5025.3
04-02-2023,Product_4,South,Online,0,35.02,131,4587.62
04-02-2023,Product_1,West,Online,0,40.63,76,3087.88
04-02-2023,Product_3,West,Retail,1,46.97,114,5354.58
04-02-2023,Product_2,North,Online,0,46.08,88,4055.04
05-02-2023,Product_1,East,Online,0,37.88,135,5113.8
05-02-2023,Product_5,North,Online,0,46.23,119,5501.37
05-02-2023,Product_2,North,Online,0,28.63,118,3378.34
05-02-2023,Product_3,South,Online,0,39.86,105,4185.3
05-02-2023,Product_4,South,Online,0,45.63,119,5429.97
05-02-2023,Product_2,West,Online,0,43.63,101,4406.63
05-02-2023,Product_5,East,Online,0,47.6,122,5807.2
05-02-2023,Product_3,East,Retail,0,31.76,95,3017.2
05-02-2023,Product_4,East,Retail,1,44.59,149,6643.91
05-02-2023,Product_1,West,Retail,0,49.09,123,6038.07
06-02-2023,Product_2,South,Retail,0,52.75,111,5855.25
06-02-2023,Product_1,East,Retail,0,42.64,109,4647.76
06-02-2023,Product_4,East,Retail,0,48.02,154,7395.08
06-02-2023,Product_5,North,Online,1,43.76,56,2450.56
06-02-2023,Product_3,North,Online,0,41.05,126,5172.3
06-02-2023,Product_1,South,Retail,0,40.38,119,4805.22
06-02-2023,Product_2,East,Online,1,42.11,159,6695.49
06-02-2023,Product_4,West,Retail,0,30.1,129,3882.9
06-02-2023,Product_3,East,Online,0,37.57,131,4921.67
06-02-2023,Product_5,West,Online,0,47.15,83,3913.45
07-02-2023,Product_5,South,Retail,0,41.57,91,3782.87
07-02-2023,Product_3,West,Online,0,42.82,102,4367.64
07-02-2023,Product_2,West,Retail,0,41.38,136,5627.68
07-02-2023,Product_3,South,Retail,0,36.9,150,5535
07-02-2023,Product_2,East,Retail,0,52.29,118,6170.22
07-02-2023,Product_5,East,Retail,0,41.97,136,5707.92
07-02-2023,Product_1,North,Online,0,40.46,95,3843.7
07-02-2023,Product_4,North,Retail,0,43.63,176,7678.88
07-02-2023,Product_4,East,Online,0,39.03,107,4176.21
07-02-2023,Product_1,West,Online,0,46.56,60,2793.6
08-02-2023,Product_2,North,Retail,0,38.77,93,3605.61
08-02-2023,Product_1,West,Online,0,39.26,119,4671.94
08-02-2023,Product_5,East,Online,0,41.01,119,4880.19
08-02-2023,Product_4,North,Online,0,47.82,138,6599.16
08-02-2023,Product_4,West,Online,0,38.32,130,4981.6
08-02-2023,Product_1,East,Online,0,46.77,112,5238.24
08-02-2023,Product_2,East,Online,0,49.48,132,6531.36
08-02-2023,Product_5,North,Retail,0,40.96,109,4464.64
08-02-2023,Product_3,South,Retail,0,37.61,93,3497.73
08-02-2023,Product_3,North,Retail,0,43.86,81,3552.66
09-02-2023,Product_1,West,Retail,0,40.33,65,2621.45
09-02-2023,Product_5,North,Retail,0,37.37,123,4596.51
09-02-2023,Product_3,East,Online,0,44.55,84,3742.2
09-02-2023,Product_1,South,Online,0,35.08,127,4455.16
09-02-2023,Product_4,East,Retail,0,31.51,137,4316.87
09-02-2023,Product_2,West,Online,0,37.3,89,3319.7
09-02-2023,Product_2,North,Retail,0,47.72,108,5153.76
09-02-2023,Product_5,East,Online,1,34.38,128,4400.64
09-02-2023,Product_3,North,Retail,0,37.69,113,4258.97
09-02-2023,Product_4,South,Online,1,31.72,154,4884.88
10-02-2023,Product_4,West,Retail,1,45.18,151,6822.18
10-02-2023,Product_3,South,Online,1,41.37,156,6453.72
10-02-2023,Product_2,West,Retail,0,38.36,107,4104.52
10-02-2023,Product_1,North,Retail,0,43.31,94,4071.14
10-02-2023,Product_1,East,Retail,0,45.54,152,6922.08
10-02-2023,Product_5,South,Retail,0,37.25,107,3985.75
10-02-2023,Product_3,West,Retail,1,40.33,144,5807.52
10-02-2023,Product_5,East,Online,0,41.35,136,5623.6
10-02-2023,Product_2,East,Retail,1,42.38,164,6950.32
10-02-2023,Product_4,South,Online,0,36.9,135,4981.5
11-02-2023,Product_4,West,Online,0,45.53,127,5782.31
11-02-2023,Product_1,West,Online,0,42.36,87,3685.32
11-02-2023,Product_1,South,Online,0,29.05,117,3398.85
11-02-2023,Product_4,South,Online,0,47,103,4841
11-02-2023,Product_2,West,Retail,0,35.31,138,4872.78
11-02-2023,Product_2,South,Retail,0,42.95,77,3307.15
11-02-2023,Product_5,West,Online,0,30.11,84,2529.24
11-02-2023,Product_5,North,Retail,0,35.07,160,5611.2
11-02-2023,Product_3,West,Retail,0,41.77,107,4469.39
11-02-2023,Product_3,North,Retail,0,39.84,166,6613.44
12-02-2023,Product_3,South,Online,0,42.85,102,4370.7
12-02-2023,Product_4,East,Retail,0,42.47,43,1826.21
12-02-2023,Product_1,South,Online,0,49.04,101,4953.04
12-02-2023,Product_2,South,Online,0,37.13,96,3564.48
12-02-2023,Product_1,East,Retail,1,41.92,124,5198.08
12-02-2023,Product_4,West,Retail,0,32.82,127,4168.14
12-02-2023,Product_5,West,Retail,0,41.37,129,5336.73
12-02-2023,Product_5,South,Retail,0,39.63,136,5389.68
12-02-2023,Product_3,West,Online,0,34.23,116,3970.68
12-02-2023,Product_2,East,Online,0,33.66,108,3635.28
13-02-2023,Product_3,East,Retail,0,45.19,165,7456.35
13-02-2023,Product_2,North,Retail,1,41.78,158,6601.24
13-02-2023,Product_4,East,Retail,0,42.63,157,6692.91
13-02-2023,Product_1,West,Online,1,38.5,55,2117.5
13-02-2023,Product_2,West,Online,1,43.81,129,5651.49
13-02-2023,Product_4,West,Retail,0,32.66,115,3755.9
13-02-2023,Product_5,North,Retail,0,42.68,107,4566.76
13-02-2023,Product_1,South,Online,0,41.94,123,5158.62
13-02-2023,Product_5,East,Online,0,32.6,63,2053.8
13-02-2023,Product_3,North,Online,0,38.75,97,3758.75
14-02-2023,Product_5,West,Online,0,46.71,115,5371.65
14-02-2023,Product_1,East,Retail,0,36.73,69,2534.37
14-02-2023,Product_1,West,Retail,0,38.06,166,6317.96
14-02-2023,Product_2,South,Retail,1,36.01,128,4609.28
14-02-2023,Product_3,East,Retail,0,32.29,119,3842.51
14-02-2023,Product_4,East,Retail,0,29.76,130,3868.8
14-02-2023,Product_3,South,Online,0,41.04,110,4514.4
14-02-2023,Product_4,West,Retail,0,45.17,115,5194.55
14-02-2023,Product_2,North,Retail,0,47.78,103,4921.34
14-02-2023,Product_5,North,Online,0,41.22,61,2514.42
15-02-2023,Product_2,East,Retail,0,40.53,113,4579.89
15-02-2023,Product_3,North,Retail,0,31.78,123,3908.94
15-02-2023,Product_4,East,Online,0,35.03,108,3783.24
15-02-2023,Product_1,North,Retail,0,48.09,111,5337.99
15-02-2023,Product_5,West,Retail,0,48.84,118,5763.12
15-02-2023,Product_1,East,Online,0,33.14,70,2319.8
15-02-2023,Product_2,South,Retail,0,25.78,132,3402.96
15-02-2023,Product_5,East,Retail,0,43.8,116,5080.8
